School District Name,Incident Years,Website,Address,Address : Street 1,Address : Street 2,Address : City,Address : State,Address : Zip,Address : Latitude,Address : Longitude,State,Count,Locale Code,Community Type,NCES District ID,Total Students,Enrollment Size,Total Schools,Total Staff (FTE),Percent in Poverty,Poverty Status,Region,District Type
Bowling Green City Schools,2020,http://www.bgcs.k12.oh.us/,"137 Clough St  Bowling Green, OH 43402",137 Clough St ,,Bowling Green,OH,43402,41.37324,-83.64968,OH,1,Town - Fringe (31),C - Town,3904363,"3,006","C - 2,500 - 9,999",6,498.43,10.78%,B - 10 to 19.99 percent,C - Central,Regular LEA
Boyd Independent School District,2017,https://www.boydisd.net/,"600 Knox Avenue Boyd, TX 76023",600 Knox Avenue,,Boyd,TX,76023,33.0754064,-97.5724897,TX,1,Rural - Distant (42),D - Rural,4811010,"1,177","B - 1,000 - 2,499",4,162.85,14.96%,B - 10 to 19.99 percent,D - West,Regular LEA
Brea Olinda Unified School District,2020,https://www.bousd.us/,"1 Civic Center Circle Brea, CA 92821",1 Civic Center Circle,,Brea,CA,92821,33.91768,-117.88884,CA,1,Suburb - Large (21),B - Suburban,605880,"6,008","C - 2,500 - 9,999",9,489.76,7.17%,A - Less than 10 percent,D - West,Regular LEA
Brecksville - Broadview Heights City School District,2020,https://www.bbhcsd.org/Default.aspx,"6638 Mill Road Brecksville, OH 44141",6638 Mill Road,,Brecksville,OH,44141,41.32761,-81.63788,OH,1,Suburb - Large (21),B - Suburban,3904364,"3,801","C - 2,500 - 9,999",6,572.36,5.47%,A - Less than 10 percent,C - Central,Regular LEA
Brewer School Department,2017,http://www.breweredu.org/,"261 Center St. Brewer, ME 04412",261 Center St.,,Brewer,ME,4412,44.79198,-68.75911,ME,1,Suburb - Small (23),B - Suburban,2303510,"1,330","B - 1,000 - 2,499",2,227.8,11.21%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Bridge City Independent School District,2017,https://www.bridgecityisd.net/,"1031 West Roundbunch Road Bridge City, TX 77611",1031 West Roundbunch Road,,Bridge City,TX,77611,30.03492,-93.85269,TX,1,Rural - Fringe (41),D - Rural,4811310,"2,887","C - 2,500 - 9,999",4,359.16,13.03%,B - 10 to 19.99 percent,D - West,Regular LEA
Bridgeport Public Schools,2019,https://www.bridgeportedu.net/,"45 Lyon Terrace Bridgeport, CT 06604",45 Lyon Terrace,,Bridgeport,CT,6604,41.18024,-73.19336,CT,1,City - Midsize (12),A - City,900450,"21,015","D - 10,000 - 24,999",36,"3,165.90",24.77%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Briggs Elementary School District,2017,http://www.briggsesd.org/,"12465 Foothill Rd Santa Paula, CA 93060",12465 Foothill Rd,,Santa Paula,CA,93060,34.3284,-119.14155,CA,1,Rural - Fringe (41),D - Rural,606030,575,"A - Less than 1,000",2,47.92,16.38%,B - 10 to 19.99 percent,D - West,Regular LEA
Brighton Central Schools,2019,,"2035 Monroe Avenue Rochester, NY 14618",2035 Monroe Avenue,,Rochester,NY,14618,43.12473,-77.56292,NY,1,Suburb - Large (21),B - Suburban,,"3,628","C - 2,500 - 9,999",4,613.95,8.22%,A - Less than 10 percent,A - Northeast,Regular LEA
Brockport Central School District,2019,https://www.bcs1.org/,"40 Allen St Brockport, NY  14420",40 Allen St,,Brockport,NY,14420,43.20704,-77.94726,NY,1,Town - Fringe (31),C - Town,3605580,"3,464","C - 2,500 - 9,999",5,684.79,13.59%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Broken Arrow Public Schools,"2016, 2019",http://www.baschools.org/,"701 S. Main Street Broken Arrow, OK 74012",701 S. Main Street,,Broken Arrow,OK,74012,36.04601,-95.78931,OK,2,Suburb - Large (21),B - Suburban,4005490,"18,868","D - 10,000 - 24,999",26,"2,314.14",11.42%,B - 10 to 19.99 percent,D - West,Regular LEA
Broward County Public Schools,"2019, 2020",https://www.browardschools.com/,"600 SE Third Avenue Ft. Lauderdale, FL 33301",600 SE Third Avenue,,Ft. Lauderdale,FL,33301,26.11419,-80.13968,FL,2,Suburb - Large (21),B - Suburban,,"269,098","F - 100,000 or more",335,"29,012.48",16.53%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Brunswick County Schools,2020,https://www.bcswan.net/,"35 Referendum Drive NE Bolivia, NC 28422",35 Referendum Drive NE,,Bolivia,NC,28422,34.05612,-78.16513,NC,1,Rural - Fringe (41),D - Rural,3700420,"12,603","D - 10,000 - 24,999",19,"1,608.27",18.38%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Brunswick School Department,2016,http://www.brunswick.k12.me.us/,"46 Federal Street Brunswick, ME 04011",46 Federal Street,,Brunswick,ME,4011,43.91429,-69.96275,ME,1,Town - Fringe (31),C - Town,2303780,"2,310","B - 1,000 - 2,499",4,519.9,9.00%,A - Less than 10 percent,A - Northeast,Regular LEA
Buffalo Public Schools,2018,https://www.buffaloschools.org/,"712 City Hall Buffalo, NY 14202",712 City Hall,,Buffalo,NY,14202,42.8863696,-78.8786385,NY,1,City - Large (11),A - City,3605850,"33,345","E - 25,000 - 99,999",60,"5,700.55",36.77%,D - 30 percent or more,A - Northeast,Regular LEA
Burke County Public Schools,2020,https://burke.k12.nc.us/,"700 E Parker Rd Morganton, NC 28655",700 E Parker Rd,,Morganton,NC,28655,35.72524,-81.64921,NC,2,Rural - Fringe (41),D - Rural,3700480,"12,497","D - 10,000 - 24,999",26,"1,467.17",18.85%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Burlington Area (WI) School District,2017,http://www.basd.k12.wi.us/,"100 North Kane Street Burlington, WI 53105",100 North Kane Street,,Burlington,WI,53105,42.67644,-88.27615,WI,1,Town - Fringe (31),C - Town,5501890,"3,165","C - 2,500 - 9,999",8,369.53,10.71%,B - 10 to 19.99 percent,C - Central,Regular LEA
Burlington School District,2020,https://www.bsdvt.org/,"150 Colchester Avenue Burlington, VT 05401",150 Colchester Avenue,,Burlington,VT,5401,44.48182,-73.19396,VT,1,City - Small (13),A - City,5002820,"3,862","C - 2,500 - 9,999",10,589.4,14.48%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Butler School District 53,2019,https://www.butler53.com/,"2801 York Road Oak Brook, IL 60523",2801 York Road,,Oak Brook,IL,60523,41.83843,-87.92742,IL,1,Suburb - Large (21),B - Suburban,1707980,536,"A - Less than 1,000",3,86.01,4.42%,A - Less than 10 percent,C - Central,Regular LEA
Cabarrus County Schools ,2019,https://www.cabarrus.k12.nc.us/,"4401 Old Airport Road Concord, NC 28025",4401 Old Airport Road,,Concord,NC,28025,35.38879,-80.50646,NC,1,City - Small (13),A - City,3700530,"31,979","E - 25,000 - 99,999",39,"3,922.83",10.59%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Caddo Parish Public Schools,2018,http://www.caddoschools.org/,"1961 Midway Avenue Shreveport, LA 71130-2000",1961 Midway Avenue,,Shreveport,LA,71130-2000,32.46996,-93.77052,LA,1,City - Midsize (12),A - City,2200300,"40,356","E - 25,000 - 99,999",64,"6,723.32",36.21%,D - 30 percent or more,B - Southeast,Regular LEA
Calallen Independent School District,2017,https://www.calallen.org/,"4205 Wildcat Drive Corpus Christi, TX 78410",4205 Wildcat Drive,,Corpus Christi,TX,78410,27.85885,-97.63629,TX,1,City - Large (11),A - City,4812420,"4,041","C - 2,500 - 9,999",6,562.9,14.31%,B - 10 to 19.99 percent,D - West,Regular LEA
Calhoun City Schools,2019,https://www.calhounschools.org/,"380 Barrett Road Calhoun, GA 30701",380 Barrett Road,,Calhoun,GA,30701,34.51105,-84.93591,GA,1,Town - Distant (32),C - Town,1300720,"4,081","C - 2,500 - 9,999",3,,23.54%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Calhoun County Independent School District,2017,http://www.calcoisd.org/,"525 North Commerce Street Port Lavaca, TX 77979",525 North Commerce Street,,Port Lavaca,TX,77979,28.61995,-96.62781,TX,1,Town - Distant (32),C - Town,4812480,"4,179","C - 2,500 - 9,999",7,570.65,22.94%,C - 20 to 29.99 percent,D - West,Regular LEA
Calhoun County School District,2019,http://www.ccpsonline.net/,"125 Herlong Ave. St. Matthews, SC 29135",125 Herlong Ave.,,St. Matthews,SC,29135,33.67089,-80.7859,SC,1,Rural - Distant (42),D - Rural,4501250,"1,786","B - 1,000 - 2,499",3,223.6,24.14%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
California Virtual Academies,2016,https://cava.k12.com/,"50 Moreland Road Simi Valley, CA 93065",50 Moreland Road,,Simi Valley,CA,93065,34.27583,-118.79806,CA,1,,E - N/A,,,G - N/A,,,,E - N/A,D - West,Special LEA
Camp Verde Unified School District,2019,http://campverdeschools.org/,"410 Camp Lincoln Rd. Camp Verde, AZ 86322",410 Camp Lincoln Rd.,,Camp Verde,AZ,86322,34.585862,-111.8610624,AZ,1,Rural - Fringe (41),D - Rural,401600,"1,518","B - 1,000 - 2,499",5,184.83,20.53%,C - 20 to 29.99 percent,D - West,Regular LEA
Campbell Union High School District,2017,https://www.cuhsd.org/,"3235 Union Avenue San Jose, CA 95124",3235 Union Avenue,,San Jose,CA,95124,37.26526,-121.93202,CA,1,City - Large (11),A - City,607230,"7,676","C - 2,500 - 9,999",7,537.26,8.32%,A - Less than 10 percent,D - West,Regular LEA
Canastota Central School District,2019,https://www.canastotacsd.org/,"120 Roberts Street Canastota, NY  13032",120 Roberts Street,,Canastota,NY,13032,43.08282,-75.74771,NY,1,Rural - Fringe (41),D - Rural,3606390,"1,402","B - 1,000 - 2,499",4,223,14.97%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Canby School District ,2020,https://www.canby.k12.or.us/,"1130 S Ivy Canby, OR 97013",1130 S Ivy,,Canby,OR,97013,45.25322,-122.68488,OR,1,Town - Fringe (31),C - Town,4102640,"4,756","C - 2,500 - 9,999",8,535.97,9.16%,A - Less than 10 percent,D - West,Regular LEA
Capistrano Unified School District,"2019, 2020",https://capousd.ca.schoolloop.com/,"33122 Valle Rd San Juan Capistrano, CA 92675",33122 Valle Rd,,San Juan Capistrano,CA,92675,33.47968,-117.66991,CA,2,Suburb - Large (21),B - Suburban,607440,"53,622","E - 25,000 - 99,999",58,"3,891.72",6.45%,A - Less than 10 percent,D - West,Regular LEA
Career & Technology Education Centers of Licking County,2018,http://www.c-tec.edu/,"150 Price Rd Newark, OH 43055",150 Price Rd,,Newark,OH,43055,40.10049,-82.43054,OH,1,,E - N/A,3905120,,G - N/A,,,,E - N/A,C - Central,Special LEA
Carlisle Community Schools,2020,https://www.carlislecsd.org/,"430 School St Carlisle, IA 50047",430 School St,,Carlisle,IA,50047,41.49687,-93.48882,IA,1,Town - Fringe (31),D - Rural,1906270,"2,263","B - 1,000 - 2,499",4,267.01,5.35%,A - Less than 10 percent,C - Central,Regular LEA
Carmel Clay Schools,2019,https://www.ccs.k12.in.us/,"5201 East Main Street Carmel, IN 46033",5201 East Main Street,,Carmel,IN,46033,39.97755,-86.08166,IN,1,City - Small (13),A - City,1801200,"16,035","D - 10,000 - 24,999",15,"2,580.57",2.45%,A - Less than 10 percent,C - Central,Regular LEA
Carmel Unified School District,2019,https://www.carmelunified.org/Page/1,"4380 Carmel Valley Road Carmel, CA 93923",4380 Carmel Valley Road,,Carmel,CA,93923,36.54364,-121.9035,CA,1,Suburb - Midsize (22),B - Suburban,607530,"2,509","C - 2,500 - 9,999",8,322,5.89%,A - Less than 10 percent,D - West,Regular LEA
Carpinteria Unified School District,2020,https://www.cusd.net/,"1400 Linden Ave Carpinteria, CA 93013",1400 Linden Ave,,Carpinteria,CA,93013,34.4037247,-119.515955,CA,1,Suburb - Midsize (22),B - Suburban,607560,"2,205","B - 1,000 - 2,499",8,244.94,13.90%,B - 10 to 19.99 percent,D - West,Regular LEA
Cartersville City Schools,2019,https://www.cartersvilleschools.org/,"15 Nelson Street Cartersville, GA 30120",15 Nelson Street,,Cartersville,GA,30120,34.17213,-84.79219,GA,1,Suburb - Small (23),B - Suburban,1300900,"4,528","C - 2,500 - 9,999",4,470.4,19.50%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Casey-Westfield CUSD #C-4,2019,http://www.caseywestfield.org/,"502 E Delaware Casey, IL 62420",502 E Delaware,,Casey,IL,62420,39.3033,-87.98641,IL,1,Town - Distant (32),C - Town,1700002,933,"A - Less than 1,000",2,147.92,14.53%,B - 10 to 19.99 percent,C - Central,Regular LEA
Cazenovia Central School District,2019,https://cazenoviacsd.com/,"31 Emory Ave Cazenovia, NY 13035",31 Emory Ave,,Cazenovia,NY,13035,42.93335,-75.85815,NY,1,Town - Fringe (31),C - Town,3606780,"1,455","B - 1,000 - 2,499",3,243.83,6.44%,A - Less than 10 percent,A - Northeast,Regular LEA
Centennial School District,2018,http://csd28j.org/,"18135 Southeast Brooklyn Street Portland, OR 97236",18135 Southeast Brooklyn Street,,Portland,OR,97236,45.50154,-122.47665,OR,1,Suburb - Large (21),B - Suburban,4102800,"6,350","C - 2,500 - 9,999",10,631.9,24.25%,C - 20 to 29.99 percent,D - West,Regular LEA
Centinela Valley Union High School District,2019,https://www.centinela.k12.ca.us/,"14901 South Inglewood Avenue Lawndale, CA 90260",14901 South Inglewood Avenue,,Lawndale,CA,90260,33.89635,-118.36147,CA,1,Suburb - Large (21),B - Suburban,607920,"7,572","C - 2,500 - 9,999",7,704.43,20.80%,C - 20 to 29.99 percent,D - West,Regular LEA
Central Independent School District,2017,http://www.centralisd.com/,"7622 US Hwy 69 N. Pollok, TX 75969",7622 US Hwy 69 N.,,Pollok,TX,75969,31.42823,-94.81109,TX,1,Rural - Fringe (41),D - Rural,4813500,"1,583","B - 1,000 - 2,499",4,241.54,19.97%,B - 10 to 19.99 percent,D - West,Regular LEA
Central School District,2020,https://csd-ca.schoolloop.com/,"10601 Church Street Rancho Cucamonga, CA 91730",10601 Church Street,,Rancho Cucamonga,CA,91730,34.11269,-117.57232,CA,1,Suburb - Large (21),B - Suburban,607950,"4,487","C - 2,500 - 9,999",7,412.56,15.52%,B - 10 to 19.99 percent,D - West,Regular LEA
Central School District 301,2019,https://central301.net/,"275 South St. Burlington, IL  60109",275 South St.,,Burlington,IL,60109,42.049382,-88.5482451,IL,1,Rural - Fringe (41),D - Rural,1707830,"4,070","C - 2,500 - 9,999",7,522.36,7.95%,A - Less than 10 percent,C - Central,Regular LEA
Central Valley School District,2019,https://www.cvalleycsd.org/,"111 Frederick St Ilion, NY 13357",111 Frederick St,,Ilion,NY,13357,43.0059651,-75.0409683,NY,1,Town - Fringe (31),C - Town,3601087,"2,412","B - 1,000 - 2,499",4,372.05,20.49%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Central Valley School District,2020,https://www.cvsd.org/,"19307 E. Cataldo Avenue Spokane Valley, WA 99016",19307 E. Cataldo Avenue,,Spokane Valley,WA,99016,47.66685,-117.14496,WA,1,City - Small (13),A - City,5301110,"14,593","D - 10,000 - 24,999",31,"1,384.51",11.43%,B - 10 to 19.99 percent,D - West,Regular LEA
Ceres Unified School District,2020,http://www.ceres.k12.ca.us/,"2503 Lawrence St Ceres, CA 95307",2503 Lawrence St,,Ceres,CA,95307,37.59062,-120.94945,CA,1,Suburb - Large (21),B - Suburban,608130,"14,437","D - 10,000 - 24,999",24,"1,583.16",20.95%,C - 20 to 29.99 percent,D - West,Regular LEA
Challis School District 181,2019,https://www.d181.k12.id.us/Page/1,"721 East Main Avenue Challis, ID 83226",721 East Main Avenue,,Challis,ID,83226,44.5047,-114.23179,ID,1,Rural - Remote (43),D - Rural,1600720,360,"A - Less than 1,000",3,51.12,25.98%,C - 20 to 29.99 percent,D - West,Regular LEA
Chandler Unified School District,"2018, 2019",https://www.cusd80.com/Domain/1,"1525 West Frye Road Chandler, AZ 85224",1525 West Frye Road,,Chandler,AZ,85224,33.29643,-111.8694,AZ,2,Suburb - Large (21),B - Suburban,401870,"42,843","E - 25,000 - 99,999",44,"4,246.27",10.59%,B - 10 to 19.99 percent,D - West,Regular LEA
Chapel Hill-Carrboro City Schools,2020,https://www.chccs.org/,"750 S. Merritt Mill Rd. Chapel Hill, NC 27516",750 S. Merritt Mill Rd.,,Chapel Hill,NC,27516,35.9034,-79.06777,NC,1,City - Small (13),A - City,3700720,"12,422","D - 10,000 - 24,999",20,"1,955.98",7.29%,A - Less than 10 percent,B - Southeast,Regular LEA
Charles City Community School District ,2020,https://www.charlescityschools.org/,"500 North Grand Ave Charles City, IA 50616",500 North Grand Ave,,Charles City,IA,50616,43.06737,-92.67237,IA,1,Town - Remote (33),C - Town,1907080,"1,595","B - 1,000 - 2,499",4,220.38,18.46%,B - 10 to 19.99 percent,C - Central,Regular LEA
Charlotte-Mecklenburg Schools,"2018, 2020",http://www.cms.k12.nc.us/Pages/default.aspx,"600 East 4th Street Charlotte, NC 28202",600 East 4th Street,,Charlotte,NC,28202,35.22127,-80.83926,NC,2,City - Large (11),A - City,3702970,"146,211","F - 100,000 or more",176,"17,488.32",17.16%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Charlottte Public Schools,2018,https://sites.google.com/site/charlotteelementaryschool/,"100 High Street Eastport, ME 04631",100 High Street,,Eastport,ME,4631,44.90837,-66.99056,ME,1,Rural - Remote (43),D - Rural,2304160,51,"A - Less than 1,000",1,12.1,13.21%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Cherokee County School District,"2018, 2019",http://cherokeek12.net/,"1205 Bluffs Parkway Canton, GA 30114",1205 Bluffs Parkway,,Canton,GA,30114,34.27147,-84.47082,GA,2,Suburb - Large (21),B - Suburban,1301110,"41,291","E - 25,000 - 99,999",37,"4,583.20",8.77%,A - Less than 10 percent,B - Southeast,Regular LEA
Cherry Creek School District,2019,https://www.cherrycreekschools.org/Domain/4,"4700 South Yosemite Street Greenwood Village, CO 80111",4700 South Yosemite Street,,Greenwood Village,CO,80111,39.62923,-104.88012,CO,1,City - Large (11),A - City,802910,"54,852","E - 25,000 - 99,999",68,"6,575.77",5.50%,A - Less than 10 percent,D - West,Regular LEA
Cherry Hill Public Schools,2019,https://www.chclc.org/,"45 Ranoldo Terrace Cherry Hill, NJ 08034",45 Ranoldo Terrace,,Cherry Hill,NJ,8034,39.91452,-74.9915,NJ,1,Suburb - Large (21),B - Suburban,3403000,"11,174","D - 10,000 - 24,999",19,"2,225.90",6.85%,A - Less than 10 percent,A - Northeast,Regular LEA
Chesapeake Public Schools,"2016, 2018",https://cpschools.com/,"312 Cedar Road Chesapeake, VA 23322",312 Cedar Road,,Chesapeake,VA,23322,36.7144531,-76.2480924,VA,2,Suburb - Large (21),B - Suburban,5100810,"39,943","E - 25,000 - 99,999",48,"5,362.67",11.98%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Chester County Intermediate Unit,2019,https://www.cciu.org/,"455 Boot Road Downingtown, PA 19335",455 Boot Road,,Downingtown,PA,19335,40.00607,-75.68055,PA,1,Suburb - Large (21),B - Suburban,4289340,,G - N/A,0,"1,300.89",,E - N/A,A - Northeast,Special LEA
Chester County School District,2018,http://www.chester.k12.sc.us/,"509 District Office Drive Chester, SC 29706",509 District Office Drive,,Chester,SC,29706,34.71497,-81.17971,SC,1,Rural - Distant (42),D - Rural,4501530,"5,202","C - 2,500 - 9,999",12,542.6,28.56%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Chester Union Free School District,2019,https://www.chesterufsd.org/Page/9,"64 Hambletonian Avenue Chester, NY 10918",64 Hambletonian Avenue,,Chester,NY,10918,41.36825,-74.27816,NY,1,Rural - Fringe (41),D - Rural,3607380,"1,099","B - 1,000 - 2,499",2,131.46,6.61%,A - Less than 10 percent,A - Northeast,Regular LEA
Chesterfield County Public Schools,2020,https://mychesterfieldschools.com/,"9900 Krause Road Chesterfield, VA 23832",9900 Krause Road,,Chesterfield,VA,23832,37.37668,-77.50336,VA,1,Suburb - Large (21),B - Suburban,5100840,"61,552","E - 25,000 - 99,999",69,"7,916.62",8.56%,A - Less than 10 percent,B - Southeast,Regular LEA
Chesterfield-Goshen Regional School District,2020,https://www.hr-k12.org/#,"30 Smith Road Chesterfield, MA 01012",30 Smith Road,,Chesterfield,MA,1012,42.40362,-72.84908,MA,1,Rural - Distant (42),D - Rural,2500014,129,"A - Less than 1,000",1,28.22,3.23%,A - Less than 10 percent,A - Northeast,Regular LEA
Chestnut Ridge School District,2017,https://www.crlions.org/,"3281 Valley Rd. Fishertown, PA 15539",3281 Valley Rd.,,Fishertown,PA,15539,40.1327498,-78.5850764,PA,1,Rural - Distant (42),D - Rural,4205880,"1,517","B - 1,000 - 2,499",3,202.5,15.66%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Chicago Public Schools,"2016, 2017, 2018, 2019, 2020",http://www.cps.edu/Pages/home.aspx,"42 West Madison Street Chicago, IL 60602",42 West Madison Street,,Chicago,IL,60602,41.88233,-87.62931,IL,7,City - Large (11),A - City,1709930,"387,311","F - 100,000 or more",655,"25,079.28",26.56%,C - 20 to 29.99 percent,C - Central,Regular LEA
Chicopee Public Schools,2019,https://www.chicopeeps.org/,"180 Broadway St Chicopee, MA 01020",180 Broadway St,,Chicopee,MA,1020,42.1534,-72.58062,MA,1,Suburb - Large (21),B - Suburban,2503660,"7,544","C - 2,500 - 9,999",15,"1,175.60",22.72%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
